97.65	14.92	184.47	120.56	40.17	78.44	35.6
96.92	14.92	183.19	120.06	40.22	79.16	35.43
97.56	14.8	182.21	119.56	40.21	78.86	35.16
98.11	14.64	183.55	120.09	40.12	78.85	35.07
97.66	14.32	183.07	120	39.88	78.04	35.17
97.09	14.4	182.88	121.08	39.87	77.79	35.03
97.01	14.32	179.99	121.19	40.05	77.25	35.17
97.2	13.8	180	119.91	39.83	76.89	35.11
97.9	13.96	179.19	121.14	40.05	77.91	35.82
97.41	13.93	177.85	118.45	39.5	77	35.53
97.31	14.04	180.27	118.1	39.51	78.4	36.45
97.24	14.02	179.23	118.01	39.61	77.25	36.24
96.52	13.97	179.21	119.96	39.57	77.55	36.2
96.03	14.17	180.15	120.3	39.62	78.87	36.26
96.05	14.15	182.12	121.5	39.8	79.11	36.27
95.37	14.23	177.35	120.91	39.61	79.16	35.57
94.78	14.26	176.85	120.59	39.03	78.88	35.19
94.68	14.17	177.8	120.56	38.8	78.1	34.63
94.21	14.21	175.77	120.13	39.09	78.12	35.28
95.12	14.52	174.97	120.64	39.09	77.76	35.23
94.59	14.52	172.86	119.82	38.82	75.3	35.22
95.2	14.63	173.78	119.65	38.78	75.02	34.61
95.47	14.66	174.83	119.52	38.55	75.24	34.44
95.22	14.56	186.73	119.16	38	73.98	34.2
93.8	14.24	184.66	118.15	37.66	73.86	33.71
94.72	14.35	186.97	118.58	37.91	75.19	33.92
94.74	14.19	186.16	117.67	37.77	74.95	34.2
94.44	14.23	184.77	116.38	37.78	73.96	34.15
93.27	13.84	181.32	116.13	37.08	72.96	33.75
93.94	13.69	178.72	116.73	37.28	73.84	33.11
94.36	13.81	182.01	117.87	37.05	75.35	34
94.7	14.05	184.1	118.13	37.2	75.74	33.75
94.67	14	183.86	118.25	37.16	75.78	33.64
95.28	14.06	184.96	120.83	37.43	75.96	33.94
96.13	13.9	186.38	121.32	37.95	76.72	34.06
96.21	13.8	185.18	121.5	37.88	76.71	33.82
97.12	13.9	186.92	122.64	38.4	77.08	33.98
98.19	14.08	190.22	123.49	38.74	76.68	34.23
97.62	14.14	189.47	124.07	38.33	76.44	34.05
97.78	14.09	189.97	124.49	38.53	76.37	34.09
97.28	14.14	190.99	125.52	38.63	76.74	34.22
96.9	14.44	190.02	124.92	39.4	76.45	34.31
97.92	14.61	193.39	125.44	39.31	76.11	34.81
98.7	14.71	194.42	125.82	39.59	76.7	34.95
97.92	14.55	192.16	124.34	38.79	75.2	34.75
97.71	14.53	193.15	124.08	38.86	75.3	34.57
97.35	14.49	192.17	124.14	38.69	76.2	34.32
